year,team,squad_size,players_with_elo,elo_sum_total,n_GK,n_GK_with_elo,elo_sum_GK,n_DF,n_DF_with_elo,elo_sum_DF,n_MF,n_MF_with_elo,elo_sum_MF,n_FW,n_FW_with_elo,elo_sum_FW
2018,Iceland,23,21,31706.9,3,2,2811.0,7,7,10127.6,10,9,14022.0,3,3,4746.3
2018,Iran,23,12,18241.3,3,1,1495.3,8,3,4692.7,6,3,4486.2,6,5,7567.1
2018,Japan,23,14,22469.2,3,1,1460.4,8,4,6506.1,9,6,9643.8,3,3,4858.9
2018,Mexico,23,11,18427.5,3,1,1464.4,6,3,5122.7,8,3,5174.9,6,4,6665.5
2018,Morocco,23,18,29390.5,3,2,3179.8,6,5,8718.8,10,9,14430.0,4,2,3061.9
2018,Nigeria,23,17,27228.9,3,1,1610.7,8,7,10440.0,6,4,6474.0,6,5,8704.2
2018,Panama,23,3,4568.7,3,1,1460.1,8,0,0.0,7,2,3108.6,5,0,0.0
2018,Peru,23,3,4884.4,3,0,0.0,8,0,0.0,7,1,1582.6,5,2,3301.8
2018,Poland,23,21,34861.8,3,3,5036.3,7,7,11246.7,9,7,11506.1,4,4,7072.7
2018,Portugal,23,22,37892.0,3,3,4940.6,8,7,11825.8,7,7,12244.9,5,5,8880.7
2018,Russia,23,23,38794.1,3,3,5114.4,7,7,11604.3,11,11,18907.8,2,2,3167.6
2018,Saudi Arabia,23,3,5041.9,3,0,0.0,7,0,0.0,10,2,3405.9,3,1,1636.0
2018,Senegal,23,22,34962.1,3,2,3085.4,6,6,9329.3,6,6,9519.7,8,8,13027.7
2018,Serbia,23,22,36294.6,3,2,3237.4,8,8,13454.1,8,8,13425.8,4,4,6177.3
2018,South Korea,23,5,8381.7,3,0,0.0,10,0,0.0,7,3,4760.8,3,2,3620.9
2018,Spain,23,23,44387.4,3,3,5521.9,8,8,15586.8,7,7,13898.7,5,5,9380.0
2018,Sweden,23,20,31912.8,3,3,4705.6,8,8,13042.7,8,7,10992.1,4,2,3172.4
2018,Switzerland,23,23,38634.3,3,3,5127.9,8,8,13368.1,8,8,13393.5,4,4,6744.8
2018,Tunisia,23,10,15423.0,3,1,1374.2,8,4,6256.8,4,1,1565.2,8,4,6226.8
2018,Uruguay,23,14,24858.6,3,1,1582.4,7,5,9094.9,7,4,6894.9,6,4,7286.4
2022,Argentina,26,24,43025.3,3,2,3504.9,8,8,14301.8,9,8,14153.6,6,6,11065.0
2022,Australia,26,15,21739.6,3,1,1599.4,9,7,9760.7,6,6,8780.1,8,1,1599.4
2022,Belgium,26,26,45496.8,3,3,5348.8,6,6,9867.4,8,8,14355.8,9,9,15924.8
2022,Brazil,26,22,41346.6,3,2,4028.4,8,7,12760.2,6,5,9305.4,9,8,15252.6
2022,Cameroon,26,18,29538.8,3,2,3576.8,8,4,6391.8,8,7,10941.5,7,5,8628.7
2022,Canada,26,14,21928.6,3,1,1627.5,7,3,4118.7,10,5,7596.8,6,5,8585.6
2022,Costa Rica,26,4,6334.5,3,2,3338.4,8,1,1521.2,12,1,1474.9,3,0,0.0
2022,Croatia,26,26,44464.0,3,3,4931.0,9,9,15155.8,8,8,14296.0,6,6,10081.2
2022,Denmark,26,26,44744.1,3,3,5018.1,9,9,15438.0,9,9,15791.7,5,5,8496.3
2022,Ecuador,26,10,16745.6,3,0,0.0,9,5,8252.8,10,4,6820.7,4,1,1672.1
2022,England,26,26,49117.7,3,3,5459.3,9,9,17090.1,8,8,15172.4,6,6,11395.9
2022,France,26,26,48376.8,3,3,5384.2,9,9,17244.9,6,6,10856.2,8,8,14891.5
2022,Germany,26,26,48488.1,3,3,5681.6,9,9,16246.8,9,9,17416.2,5,5,9143.5
2022,Ghana,26,23,37999.6,3,2,2840.8,9,9,14625.7,10,9,15579.0,4,3,4954.1
2022,Iran,25,12,18837.1,4,1,1456.0,10,4,5995.6,8,4,6365.7,3,3,5019.8
2022,Japan,26,19,31412.6,3,2,3059.1,8,4,6837.6,11,10,16830.5,4,3,4685.4
2022,Mexico,26,9,15251.1,3,0,0.0,9,4,6713.9,6,2,3510.9,8,3,5026.3
2022,Morocco,26,20,32685.0,3,1,1715.3,8,6,10371.5,10,9,14313.5,5,4,6284.7
2022,Netherlands,26,26,46433.9,3,3,5039.4,9,9,16947.9,7,7,12515.1,7,7,11931.5
2022,Poland,26,24,39018.3,3,3,4976.5,8,8,12550.9,11,10,16322.6,4,3,5168.3
2022,Portugal,26,26,47580.6,3,3,5253.5,8,8,15208.2,8,8,14249.1,7,7,12869.8
2022,Qatar,26,0,0.0,3,0,0.0,8,0,0.0,10,0,0.0,5,0,0.0
2022,Saudi Arabia,26,0,0.0,3,0,0.0,8,0,0.0,9,0,0.0,6,0,0.0
2022,Senegal,26,25,41793.5,3,3,5126.2,10,9,15082.7,7,7,11896.0,6,6,9688.6
2022,Serbia,26,26,42888.0,3,3,4984.6,7,7,11327.0,10,10,16531.9,6,6,10044.5
2022,South Korea,26,8,13561.1,3,0,0.0,9,1,1903.6,12,6,10158.5,2,1,1499.0
2022,Spain,26,26,48103.3,3,3,5257.4,8,8,14956.4,7,7,13153.3,8,8,14736.2
2022,Switzerland,26,25,42239.3,4,4,6799.2,8,8,13748.3,10,9,15051.8,4,4,6640.0
2022,Tunisia,26,11,16308.2,4,0,0.0,8,5,7200.7,7,3,4659.3,7,3,4448.2
2022,United States,26,17,28941.3,3,2,3454.5,9,5,8543.3,6,4,6804.2,8,6,10139.3
2022,Uruguay,26,15,26643.6,3,1,1580.7,9,5,9051.4,8,5,8876.0,6,4,7135.5
2022,Wales,26,21,33674.9,3,3,5033.9,9,8,13163.7,9,6,9051.5,5,4,6425.8
