year,team,shirt_number,position,player,birth_date,caps,goals,club,club_country,league_country,iffhs_ranking_year,iffhs_league_rank,clubelo_name,clubelo_rating,clubelo_division_level,clubelo_date
2010,South Africa,8,MF,Siphiwe Tshabalala,1984-09-25,48,,Kaizer Chiefs,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,9,FW,Katlego Mphela,1984-11-29,31,,Mamelodi Sundowns,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,10,MF,Steven Pienaar,1982-03-17,50,,Everton,England,England,2013,2.0,Everton,1706.4,1.0,2010-01-01
2010,South Africa,11,MF,Teko Modise,1982-12-22,52,,Orlando Pirates,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,12,MF,Reneilwe Letsholonyane,1982-06-09,13,,Kaizer Chiefs,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,13,MF,Kagisho Dikgacoi,1984-11-24,37,,Fulham,England,England,2013,2.0,Fulham,1735.5,1.0,2010-01-01
2010,South Africa,14,DF,Matthew Booth,1977-03-14,27,,Mamelodi Sundowns,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,15,DF,Lucas Thwala,1981-10-19,24,,Orlando Pirates,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,16,GK,Itumeleng Khune,1987-06-20,27,,Kaizer Chiefs,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,17,FW,Bernard Parker,1986-03-16,28,,Twente,Netherlands,Netherlands,2013,21.0,Twente,1673.0,1.0,2010-01-01
2010,South Africa,18,FW,Siyabonga Nomvethe,1977-12-02,76,,Moroka Swallows,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,19,MF,Surprise Moriri,1980-03-20,34,,Mamelodi Sundowns,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,20,DF,Bongani Khumalo,1987-01-06,14,,Supersport United,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,21,DF,Siyabonga Sangweni,1981-09-29,8,,Golden Arrows,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,22,GK,Shu-Aib Walters,1981-12-26,0,,Maritzburg United,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,23,MF,Thanduyise Khuboni,1986-05-23,9,,Golden Arrows,South Africa,South Africa,2013,61.0,,,,
2010,Uruguay,1,GK,Fernando Muslera,1986-06-16,6,,Lazio,Italy,Italy,2013,4.0,Lazio,1602.0,1.0,2010-01-01
2010,Uruguay,2,DF,Diego Lugano,1980-11-02,42,,Fenerbahçe,Turkey,Turkey,2013,13.0,Fenerbahce,1669.9,1.0,2010-01-01
2010,Uruguay,3,DF,Diego Godín,1986-02-16,38,,Villarreal,Spain,Spain,2013,1.0,Villarreal,1758.8,1.0,2010-01-01
2010,Uruguay,4,DF,Jorge Fucile,1984-11-19,24,,Porto,Portugal,Portugal,2013,18.0,Porto,1832.5,1.0,2010-01-01
2010,Uruguay,5,MF,Walter Gargano,1984-07-23,28,,Napoli,Italy,Italy,2013,4.0,Napoli,1664.0,1.0,2010-01-01
2010,Uruguay,6,DF,Mauricio Victorino,1982-10-11,4,,Universidad de Chile,Chile,Chile,2013,19.0,,,,
2010,Uruguay,7,FW,Edinson Cavani,1987-02-14,14,,Palermo,Italy,Italy,2013,4.0,Palermo,1694.3,1.0,2010-01-01
2010,Uruguay,8,MF,Sebastián Eguren,1981-01-08,27,,AIK,Sweden,Sweden,2013,45.0,AIK,1455.3,1.0,2010-01-01
2010,Uruguay,9,FW,Luis Suárez,1987-01-24,30,,Ajax,Netherlands,Netherlands,2013,21.0,Ajax,1678.5,1.0,2010-01-01
2010,Uruguay,10,FW,Diego Forlán,1979-05-19,62,,Atlético Madrid,Spain,Spain,2013,1.0,Atletico,1736.6,1.0,2010-01-01
2010,Uruguay,11,MF,Álvaro Pereira,1985-11-28,15,,Porto,Portugal,Portugal,2013,18.0,Porto,1832.5,1.0,2010-01-01
2010,Uruguay,12,GK,Juan Castillo,1978-04-17,11,,Deportivo Cali,Colombia,Colombia,2013,9.0,,,,
2010,Uruguay,13,FW,Sebastián Abreu,1976-10-17,56,,Botafogo,Brazil,Brazil,2013,5.0,,,,
2010,Uruguay,14,MF,Nicolás Lodeiro,1989-03-21,4,,Ajax,Netherlands,Netherlands,2013,21.0,Ajax,1678.5,1.0,2010-01-01
2010,Uruguay,15,MF,Diego Pérez,1980-05-18,50,,Monaco,France,France,2013,7.0,Monaco,1647.3,1.0,2010-01-01
2010,Uruguay,16,DF,Maxi Pereira,1984-06-08,37,,Benfica,Portugal,Portugal,2013,18.0,Benfica,1758.2,1.0,2010-01-01
2010,Uruguay,17,MF,Egidio Arévalo Ríos,1982-01-01,6,,Peñarol,Uruguay,Uruguay,2013,35.0,,,,
2010,Uruguay,18,MF,Ignacio González,1982-05-14,17,,Levadiakos,Greece,Greece,2013,22.0,Levadeiakos,1316.8,1.0,2010-01-01
2010,Uruguay,19,DF,Andrés Scotti,1975-12-14,26,,Colo-Colo,Chile,Chile,2013,19.0,,,,
2010,Uruguay,20,MF,Álvaro Fernández,1985-10-11,7,,Universidad de Chile,Chile,Chile,2013,19.0,,,,
2010,Uruguay,21,FW,Sebastián Fernández,1985-05-23,6,,Banfield,Argentina,Argentina,2013,6.0,,,,
2010,Uruguay,22,DF,Martín Cáceres,1987-04-07,19,,Sevilla,Spain,Spain,2013,1.0,Sevilla,1833.8,1.0,2010-01-01
2010,Uruguay,23,GK,Martín Silva,1983-03-25,1,,Defensor Sporting,Uruguay,Uruguay,2013,35.0,,,,
2010,Argentina,1,GK,Diego Pozo,1978-02-16,3,,Colón,Argentina,Argentina,2013,6.0,,,,
2010,Argentina,2,DF,Martín Demichelis,1980-12-20,25,,Bayern Munich,Germany,Germany,2013,3.0,Bayern,1857.6,1.0,2010-01-01
2010,Argentina,3,DF,Clemente Rodríguez,1981-07-31,12,,Estudiantes,Argentina,Argentina,2013,6.0,,,,
2010,Argentina,4,DF,Nicolás Burdisso,1981-04-12,29,,Roma,Italy,Italy,2013,4.0,Roma,1781.5,1.0,2010-01-01
2010,Argentina,5,MF,Mario Bolatti,1985-02-17,5,,Fiorentina,Italy,Italy,2013,4.0,Fiorentina,1765.1,1.0,2010-01-01
2010,Argentina,6,DF,Gabriel Heinze,1978-04-19,64,,Marseille,France,France,2013,7.0,Marseille,1770.7,1.0,2010-01-01
2010,Argentina,7,MF,Ángel Di María,1988-02-14,8,,Benfica,Portugal,Portugal,2013,18.0,Benfica,1758.2,1.0,2010-01-01
2010,Argentina,8,MF,Juan Sebastián Verón,1975-03-09,70,,Estudiantes,Argentina,Argentina,2013,6.0,,,,
2010,Argentina,9,FW,Gonzalo Higuaín,1987-12-10,5,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,1902.7,1.0,2010-01-01
2010,Argentina,10,FW,Lionel Messi,1987-06-24,45,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,Argentina,11,FW,Carlos Tevez,1984-02-05,54,,Manchester City,England,England,2013,2.0,Man City,1743.7,1.0,2010-01-01
2010,Argentina,12,DF,Ariel Garcé,1979-07-14,4,,Colón,Argentina,Argentina,2013,6.0,,,,
2010,Argentina,13,DF,Walter Samuel,1978-03-23,54,,Inter Milan,Italy,Italy,2013,4.0,Inter,1884.5,1.0,2010-01-01
2010,Argentina,14,MF,Javier Mascherano,1984-06-08,57,,Liverpool,England,England,2013,2.0,Liverpool,1843.9,1.0,2010-01-01
2010,Argentina,15,DF,Nicolás Otamendi,1988-02-12,7,,Vélez Sársfield,Argentina,Argentina,2013,6.0,,,,
2010,Argentina,16,FW,Sergio Agüero,1988-06-02,22,,Atlético Madrid,Spain,Spain,2013,1.0,Atletico,1736.6,1.0,2010-01-01
2010,Argentina,17,MF,Jonás Gutiérrez,1983-07-05,16,,Newcastle United,England,England,2013,2.0,Newcastle,1642.5,2.0,2010-01-01
2010,Argentina,18,FW,Martín Palermo,1973-11-07,14,,Boca Juniors,Argentina,Argentina,2013,6.0,,,,
2010,Argentina,19,FW,Diego Milito,1979-06-12,21,,Inter Milan,Italy,Italy,2013,4.0,Inter,1884.5,1.0,2010-01-01
2010,Argentina,20,MF,Maxi Rodríguez,1981-01-02,36,,Liverpool,England,England,2013,2.0,Liverpool,1843.9,1.0,2010-01-01
2010,Argentina,21,GK,Mariano Andújar,1983-07-30,4,,Catania,Italy,Italy,2013,4.0,Catania,1565.6,1.0,2010-01-01
2010,Argentina,22,GK,Sergio Romero,1987-02-22,6,,AZ,Netherlands,Netherlands,2013,21.0,Alkmaar,1603.9,1.0,2010-01-01
2010,Argentina,23,MF,Javier Pastore,1989-06-20,1,,Palermo,Italy,Italy,2013,4.0,Palermo,1694.3,1.0,2010-01-01
2010,Greece,1,GK,Kostas Chalkias,1974-05-30,27,,PAOK,Greece,Greece,2013,22.0,PAOK,1523.3,1.0,2010-01-01
2010,Greece,2,DF,Giourkas Seitaridis,1981-06-04,69,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1686.6,1.0,2010-01-01
2010,Greece,3,DF,Christos Patsatzoglou,1979-03-19,43,,Omonia,Cyprus,Cyprus,2013,26.0,Omonia,1481.2,0.0,2010-01-01
2010,Greece,4,DF,Nikos Spyropoulos,1983-10-10,19,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1686.6,1.0,2010-01-01
2010,Greece,5,DF,Vangelis Moras,1981-08-18,11,,Bologna,Italy,Italy,2013,4.0,Bologna,1590.7,1.0,2010-01-01
2010,Greece,6,MF,Alexandros Tziolis,1985-02-13,19,,Siena,Italy,Italy,2013,4.0,Siena,1577.0,1.0,2010-01-01
2010,Greece,7,FW,Georgios Samaras,1985-02-21,34,,Celtic,Scotland,Scotland,2013,25.0,Celtic,1593.1,1.0,2010-01-01
2010,Greece,8,DF,Avraam Papadopoulos,1984-12-03,14,,Olympiacos,Greece,Greece,2013,22.0,Olympiakos,1681.4,1.0,2010-01-01
2010,Greece,9,FW,Angelos Charisteas,1980-02-09,84,,1. FC Nürnberg,Germany,Germany,2013,3.0,Nuernberg,1579.4,1.0,2010-01-01
2010,Greece,10,MF,Giorgos Karagounis,1977-03-06,93,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1686.6,1.0,2010-01-01
2010,Greece,11,DF,Loukas Vyntra,1981-02-05,29,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1686.6,1.0,2010-01-01
2010,Greece,12,GK,Alexandros Tzorvas,1982-08-12,8,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1686.6,1.0,2010-01-01
2010,Greece,13,GK,Michalis Sifakis,1984-09-09,2,,Aris,Greece,Greece,2013,22.0,Aris,1455.6,1.0,2010-01-01
2010,Greece,14,FW,Dimitris Salpingidis,1981-08-18,36,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1686.6,1.0,2010-01-01
2010,Greece,15,DF,Vasilis Torosidis,1985-06-10,26,,Olympiacos,Greece,Greece,2013,22.0,Olympiakos,1681.4,1.0,2010-01-01
2010,Greece,16,DF,Sotirios Kyrgiakos,1979-07-23,58,,Liverpool,England,England,2013,2.0,Liverpool,1843.9,1.0,2010-01-01
2010,Greece,17,FW,Theofanis Gekas,1980-05-23,47,,Hertha BSC,Germany,Germany,2013,3.0,Hertha,1582.8,1.0,2010-01-01
2010,Greece,18,MF,Sotiris Ninis,1990-04-03,4,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1686.6,1.0,2010-01-01
2010,Greece,19,DF,Sokratis Papastathopoulos,1988-06-09,10,,Genoa,Italy,Italy,2013,4.0,Genoa,1695.7,1.0,2010-01-01
2010,Greece,20,FW,Pantelis Kapetanos,1983-06-08,3,,Steaua București,Romania,Romania,2013,10.0,Steaua,1548.0,1.0,2010-01-01
2010,Greece,21,MF,Kostas Katsouranis,1979-06-21,69,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1686.6,1.0,2010-01-01
2010,Greece,22,DF,Stelios Malezas,1985-03-11,0,,PAOK,Greece,Greece,2013,22.0,PAOK,1523.3,1.0,2010-01-01
2010,Greece,23,MF,Sakis Prittas,1979-01-09,0,,Aris,Greece,Greece,2013,22.0,Aris,1455.6,1.0,2010-01-01
2010,Nigeria,1,GK,Vincent Enyeama,1982-08-29,51,,Hapoel Tel Aviv,Israel,Israel,2013,36.0,,,,
2010,Nigeria,2,DF,Joseph Yobo,1980-09-06,64,,Everton,England,England,2013,2.0,Everton,1706.4,1.0,2010-01-01
2010,Nigeria,3,DF,Taye Taiwo,1985-04-16,35,,Marseille,France,France,2013,7.0,Marseille,1770.7,1.0,2010-01-01
2010,Nigeria,4,FW,Nwankwo Kanu,1976-08-01,72,,Portsmouth,England,England,2013,2.0,Portsmouth,1605.4,1.0,2010-01-01
2010,Nigeria,5,DF,Rabiu Afolabi,1980-04-18,12,,Red Bull Salzburg,Austria,Austria,2013,28.0,Salzburg,1608.5,1.0,2010-01-01
2010,Nigeria,6,DF,Danny Shittu,1980-09-02,23,,Bolton Wanderers,England,England,2013,2.0,Bolton,1618.6,1.0,2010-01-01
2010,Nigeria,7,FW,John Utaka,1982-01-08,41,,Portsmouth,England,England,2013,2.0,Portsmouth,1605.4,1.0,2010-01-01
2010,Nigeria,8,FW,Yakubu,1982-11-22,47,,Everton,England,England,2013,2.0,Everton,1706.4,1.0,2010-01-01
2010,Nigeria,9,FW,Obafemi Martins,1984-10-28,27,,VfL Wolfsburg,Germany,Germany,2013,3.0,Wolfsburg,1748.9,1.0,2010-01-01
2010,Nigeria,10,FW,Brown Ideye [4],1988-10-10,0,,Sochaux,France,France,2013,7.0,Sochaux,1631.4,1.0,2010-01-01
2010,Nigeria,11,FW,Peter Odemwingie,1981-07-15,43,,Lokomotiv Moscow,Russia,Russia,2013,8.0,Lok Moskva,1631.7,1.0,2010-01-01
2010,Nigeria,12,FW,Kalu Uche,1982-11-15,18,,Almería,Spain,Spain,2013,1.0,Almeria,1646.9,1.0,2010-01-01
2010,Nigeria,13,MF,Ayila Yussuf,1984-11-04,24,,Dynamo Kyiv,Ukraine,Ukraine,2013,14.0,Dynamo Kyiv,1812.1,1.0,2010-01-01
2010,Nigeria,14,MF,Sani Kaita,1986-05-02,16,,Alania Vladikavkaz,Russia,Russia,2013,8.0,Alanya,1420.2,1.0,2010-01-01
2010,Nigeria,15,MF,Lukman Haruna,1990-12-04,5,,Monaco,France,France,2013,7.0,Monaco,1647.3,1.0,2010-01-01
2010,Nigeria,16,GK,Austin Ejide,1984-04-08,16,,Hapoel Petah Tikva,Israel,Israel,2013,36.0,,,,
2010,Nigeria,17,DF,Chidi Odiah,1983-12-17,21,,CSKA Moscow,Russia,Russia,2013,8.0,CSKA Moskva,1701.8,1.0,2010-01-01
2010,Nigeria,18,FW,Victor Obinna,1987-03-25,30,,Málaga,Spain,Spain,2013,1.0,Malaga,1669.8,1.0,2010-01-01
2010,Nigeria,19,FW,Chinedu Obasi,1986-06-01,17,,1899 Hoffenheim,Germany,Germany,2013,3.0,Hoffenheim,1681.3,1.0,2010-01-01
2010,Nigeria,20,MF,Dickson Etuhu,1982-06-08,11,,Fulham,England,England,2013,2.0,Fulham,1735.5,1.0,2010-01-01
2010,Nigeria,21,DF,Elderson Echiéjilé,1988-01-20,9,,Rennes,France,France,2013,7.0,Rennes,1709.1,1.0,2010-01-01
2010,Nigeria,22,DF,Dele Adeleye,1988-12-25,5,,Sparta Rotterdam,Netherlands,Netherlands,2013,21.0,Sparta Rotterdam,1368.1,1.0,2010-01-01
2010,Nigeria,23,GK,Dele Aiyenugba,1983-11-20,9,,Bnei Yehuda,Israel,Israel,2013,36.0,Bnei Yehuda,1480.3,1.0,2010-01-01
2010,South Korea,1,GK,Lee Woon-jae,1973-04-26,130,,Suwon Samsung Bluewings,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,2,DF,Oh Beom-seok,1984-07-29,37,,Ulsan Hyundai,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,3,DF,Kim Hyung-il,1984-04-27,2,,Pohang Steelers,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,4,MF,Cho Yong-hyung,1983-11-03,31,,Jeju United,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,5,MF,Kim Nam-il,1977-03-14,92,,Tom Tomsk,Russia,Russia,2013,8.0,,,,
2010,South Korea,6,MF,Kim Bo-kyung,1989-10-06,6,,Oita Trinita,Japan,Japan,2013,30.0,,,,
2010,South Korea,7,MF,Park Ji-sung,1981-02-25,88,,Manchester United,England,England,2013,2.0,Man United,1928.5,1.0,2010-01-01
2010,South Korea,8,MF,Kim Jung-woo,1982-05-09,54,,Gwangju Sangmu,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,9,FW,Ahn Jung-hwan,1976-01-27,70,,Dalian Shide,China,China,2013,34.0,,,,
2010,South Korea,10,FW,Park Chu-young,1985-07-10,40,,Monaco,France,France,2013,7.0,Monaco,1647.3,1.0,2010-01-01
2010,South Korea,11,FW,Lee Seung-yeoul,1989-03-06,8,,FC Seoul,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,12,DF,Lee Young-pyo,1977-04-23,112,,Al Hilal,Saudi Arabia,Saudi Arabia,2013,24.0,,,,
2010,South Korea,13,MF,Kim Jae-sung,1983-10-03,7,,Pohang Steelers,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,14,DF,Lee Jung-soo,1980-01-08,24,,Kashima Antlers,Japan,Japan,2013,30.0,,,,
2010,South Korea,15,DF,Kim Dong-jin,1982-01-29,61,,Ulsan Hyundai,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,16,MF,Ki Sung-yueng,1989-01-24,21,,Celtic,Scotland,Scotland,2013,25.0,Celtic,1593.1,1.0,2010-01-01
2010,South Korea,17,MF,Lee Chung-yong,1988-07-02,23,,Bolton Wanderers,England,England,2013,2.0,Bolton,1618.6,1.0,2010-01-01
2010,South Korea,18,GK,Jung Sung-ryong,1985-01-04,15,,Seongnam Ilhwa Chunma,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,19,FW,Yeom Ki-hun,1983-03-30,33,,Suwon Samsung Bluewings,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,20,FW,Lee Dong-gook,1979-04-29,83,,Jeonbuk Hyundai Motors,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,21,GK,Kim Young-kwang,1983-06-28,14,,Ulsan Hyundai,South Korea,South Korea,2013,23.0,,,,
2010,South Korea,22,DF,Cha Du-ri,1980-07-25,46,,SC Freiburg,Germany,Germany,2013,3.0,Freiburg,1583.7,1.0,2010-01-01
2010,South Korea,23,DF,Kang Min-soo,1986-02-14,31,,Suwon Samsung Bluewings,South Korea,South Korea,2013,23.0,,,,
2010,Algeria,1,GK,Lounès Gaouaoui,1977-09-28,48,,ASO Chlef,Algeria,Algeria,2013,62.0,,,,
2010,Algeria,2,DF,Madjid Bougherra,1982-10-07,41,,Rangers,Scotland,Scotland,2013,25.0,Rangers,1606.6,1.0,2010-01-01
2010,Algeria,3,DF,Nadir Belhadj,1982-06-18,45,,Portsmouth,England,England,2013,2.0,Portsmouth,1605.4,1.0,2010-01-01
2010,Algeria,4,DF,Antar Yahia,1982-03-21,44,,VfL Bochum,Germany,Germany,2013,3.0,Bochum,1587.6,1.0,2010-01-01
2010,Algeria,5,DF,Rafik Halliche,1986-09-02,17,,Nacional,Portugal,Portugal,2013,18.0,Nacional,1607.2,1.0,2010-01-01
2010,Algeria,6,MF,Yazid Mansouri,1978-02-25,67,,Lorient,France,France,2013,7.0,Lorient,1669.1,1.0,2010-01-01
2010,Algeria,7,MF,Ryad Boudebouz,1990-02-19,2,,Sochaux,France,France,2013,7.0,Sochaux,1631.4,1.0,2010-01-01
2010,Algeria,8,MF,Mehdi Lacen,1984-01-05,3,,Racing Santander,Spain,Spain,2013,1.0,,,,
2010,Algeria,9,FW,Abdelkader Ghezzal,1984-12-05,19,,Siena,Italy,Italy,2013,4.0,Siena,1577.0,1.0,2010-01-01
2010,Algeria,10,FW,Rafik Saïfi,1975-02-07,62,,Istres,France,France,2013,7.0,Istres,1395.2,2.0,2010-01-01
2010,Algeria,11,FW,Rafik Djebbour,1984-03-08,16,,AEK Athens,Greece,Greece,2013,22.0,AEK,1519.3,1.0,2010-01-01
